CC	peptides
0	METDB-00194-1-DN11912-c0-g2-i1.p1
0	METDB-00194-1-DN11912-c0-g1-i1.p1
0	METDB-00194-1-DN44155-c0-g1-i1.p1
0	METDB-00194-1-DN10553-c0-g1-i1.p1
0	METDB-00194-1-DN14399-c0-g1-i1.p1
0	METDB-00194-1-DN12026-c0-g1-i1.p1
0	METDB-00194-1-DN63070-c0-g1-i1.p1
0	METDB-00194-1-DN39493-c0-g1-i1.p1
0	METDB-00194-1-DN39493-c0-g1-i2.p1
0	METDB-00194-1-DN32977-c1-g2-i1.p1
0	METDB-00194-1-DN17127-c0-g1-i1.p1
0	METDB-00194-1-DN70870-c0-g1-i1.p1
0	METDB-00194-1-DN32977-c1-g1-i1.p1
0	METDB-00194-1-DN32977-c3-g1-i1.p1
0	METDB-00194-1-DN75933-c0-g1-i1.p1
0	METDB-00194-1-DN14068-c1-g1-i1.p1
0	METDB-00194-1-DN83289-c0-g1-i1.p1
0	METDB-00194-1-DN29335-c0-g1-i1.p1
0	METDB-00194-1-DN5249-c0-g1-i1.p1
0	METDB-00194-1-DN18822-c0-g1-i1.p1
0	METDB-00194-1-DN18822-c0-g2-i1.p1
0	METDB-00194-1-DN5249-c0-g2-i1.p1
0	METDB-00194-1-DN60790-c0-g1-i1.p1
0	METDB-00194-1-DN94740-c0-g1-i1.p1
0	METDB-00194-1-DN21742-c0-g1-i1.p1
0	METDB-00194-1-DN34427-c1-g1-i1.p1
0	METDB-00194-1-DN34427-c1-g1-i2.p1
0	METDB-00194-1-DN21742-c0-g2-i1.p1
0	METDB-00194-1-DN70873-c0-g1-i1.p1
0	METDB-00194-1-DN48708-c0-g2-i1.p1
0	METDB-00194-1-DN48708-c0-g1-i1.p1
0	METDB-00194-1-DN26695-c0-g3-i1.p1
0	METDB-00194-1-DN11177-c0-g1-i1.p1
0	METDB-00194-1-DN11177-c0-g1-i2.p1
0	METDB-00194-1-DN74881-c0-g1-i1.p1
0	METDB-00194-1-DN63992-c0-g1-i1.p1
0	METDB-00194-1-DN54311-c0-g1-i1.p1
0	METDB-00194-1-DN54311-c0-g2-i1.p1
0	METDB-00194-1-DN21578-c0-g1-i1.p1
0	METDB-00194-1-DN82342-c0-g1-i1.p1
0	METDB-00194-1-DN43801-c0-g1-i1.p1
0	METDB-00194-1-DN74517-c0-g1-i1.p1
0	METDB-00194-1-DN15052-c0-g1-i1.p1
0	METDB-00194-1-DN72903-c0-g1-i1.p1
0	METDB-00194-1-DN26695-c0-g2-i1.p1
0	METDB-00194-1-DN81832-c0-g1-i1.p1
0	METDB-00194-1-DN96488-c0-g1-i1.p1
0	METDB-00194-1-DN940-c0-g1-i1.p2
0	METDB-00194-1-DN64467-c0-g1-i1.p1
0	METDB-00194-1-DN59983-c0-g1-i1.p1
0	METDB-00194-1-DN73737-c0-g1-i1.p1
0	METDB-00194-1-DN4401-c0-g1-i1.p1
0	METDB-00194-1-DN28842-c0-g1-i1.p1
0	METDB-00194-1-DN95430-c0-g1-i1.p1
0	METDB-00194-1-DN39493-c0-g1-i3.p1
0	METDB-00194-1-DN42144-c0-g1-i1.p1
0	METDB-00194-1-DN14068-c0-g1-i1.p1
0	METDB-00194-1-DN36789-c0-g1-i1.p1
0	METDB-00194-1-DN12502-c0-g1-i1.p1
0	METDB-00194-1-DN72647-c0-g1-i1.p1
0	METDB-00194-1-DN15702-c0-g1-i1.p2
0	METDB-00194-1-DN33428-c0-g1-i1.p1
0	METDB-00194-1-DN12502-c1-g1-i1.p1
0	METDB-00194-1-DN40373-c18-g1-i1.p1
0	METDB-00194-1-DN48328-c0-g1-i1.p1
0	METDB-00194-1-DN66349-c0-g1-i1.p1
0	METDB-00194-1-DN164-c0-g2-i1.p1
0	METDB-00194-1-DN26898-c0-g1-i1.p1
0	METDB-00194-1-DN51470-c0-g1-i1.p1
0	METDB-00194-1-DN12605-c0-g1-i1.p1
0	METDB-00194-1-DN53020-c0-g1-i1.p1
0	METDB-00194-1-DN7313-c1-g1-i1.p1
0	METDB-00194-1-DN61678-c0-g1-i1.p1
0	METDB-00194-1-DN99092-c0-g1-i1.p1
0	METDB-00194-1-DN93151-c0-g1-i1.p1
0	METDB-00194-1-DN34429-c0-g1-i1.p1
0	METDB-00194-1-DN34429-c0-g1-i2.p1
0	METDB-00194-1-DN34429-c0-g2-i1.p1
0	METDB-00194-1-DN95359-c0-g1-i1.p1
0	METDB-00194-1-DN12791-c0-g1-i1.p1
0	METDB-00194-1-DN63076-c0-g1-i1.p2
0	METDB-00194-1-DN30075-c1-g2-i1.p1
0	METDB-00194-1-DN25151-c0-g1-i2.p1
0	METDB-00194-1-DN25151-c0-g1-i1.p1
0	METDB-00194-1-DN84237-c0-g1-i1.p1
0	METDB-00194-1-DN86080-c0-g1-i1.p1
0	METDB-00194-1-DN12791-c1-g1-i1.p1
0	METDB-00194-1-DN36756-c0-g1-i1.p1
0	METDB-00194-1-DN36756-c0-g2-i1.p1
0	METDB-00194-1-DN34429-c0-g1-i3.p1
0	METDB-00194-1-DN34429-c0-g1-i4.p1
0	METDB-00194-1-DN77099-c0-g1-i1.p1
0	METDB-00194-1-DN42826-c0-g1-i1.p1
0	METDB-00194-1-DN95147-c0-g1-i1.p1
0	METDB-00194-1-DN86868-c0-g1-i1.p1
0	METDB-00194-1-DN44831-c0-g1-i1.p1
0	METDB-00194-1-DN22138-c0-g1-i1.p1
0	METDB-00194-1-DN22853-c1-g1-i1.p1
0	METDB-00194-1-DN73176-c0-g1-i1.p1
0	METDB-00194-1-DN24741-c0-g2-i1.p1
0	METDB-00194-1-DN27301-c0-g1-i1.p1
0	METDB-00194-1-DN1884-c0-g2-i1.p1
0	METDB-00194-1-DN4744-c0-g1-i1.p1
0	METDB-00194-1-DN93301-c0-g1-i1.p1
0	METDB-00194-1-DN93301-c0-g2-i1.p1
0	METDB-00194-1-DN55298-c0-g1-i1.p1
0	METDB-00194-1-DN74068-c0-g1-i1.p1
0	METDB-00194-1-DN42758-c0-g1-i1.p1
0	METDB-00194-1-DN60296-c0-g1-i1.p1
0	METDB-00194-1-DN83999-c0-g1-i1.p1
0	METDB-00194-1-DN44747-c0-g1-i1.p1
0	METDB-00194-1-DN9840-c0-g2-i1.p1
0	METDB-00194-1-DN9840-c0-g1-i1.p1
0	METDB-00194-1-DN93767-c0-g1-i1.p1
0	METDB-00194-1-DN98869-c0-g1-i1.p1
0	METDB-00194-1-DN32977-c0-g1-i1.p1
0	METDB-00194-1-DN32977-c0-g2-i1.p1
0	METDB-00194-1-DN22396-c0-g1-i1.p1
0	METDB-00194-1-DN22396-c0-g2-i1.p1
0	METDB-00194-1-DN81891-c0-g1-i1.p1
0	METDB-00194-1-DN29298-c0-g1-i1.p1
0	METDB-00194-1-DN89095-c0-g1-i1.p1
0	METDB-00194-1-DN19380-c0-g1-i1.p1
0	METDB-00194-1-DN19380-c0-g3-i1.p1
0	METDB-00194-1-DN48973-c0-g1-i1.p1
0	METDB-00194-1-DN164-c0-g1-i1.p1
0	METDB-00194-1-DN16927-c0-g2-i1.p1
0	METDB-00194-1-DN17210-c0-g1-i1.p1
0	METDB-00194-1-DN74255-c0-g1-i1.p1
0	METDB-00194-1-DN17740-c0-g1-i1.p1
0	METDB-00194-1-DN17740-c0-g2-i1.p1
0	METDB-00194-1-DN35503-c2-g1-i1.p2
0	METDB-00194-1-DN95009-c0-g1-i1.p1
0	METDB-00194-1-DN38040-c2-g4-i2.p1
0	METDB-00194-1-DN38040-c2-g3-i1.p1
0	METDB-00194-1-DN73698-c0-g1-i1.p1
0	METDB-00194-1-DN72954-c0-g1-i1.p1
0	METDB-00194-1-DN9222-c0-g2-i1.p1
0	METDB-00194-1-DN9222-c0-g1-i1.p1
0	METDB-00194-1-DN1884-c0-g1-i1.p1
0	METDB-00194-1-DN53231-c0-g1-i1.p1
0	METDB-00194-1-DN30166-c0-g1-i3.p1
0	METDB-00194-1-DN31691-c0-g1-i1.p1
0	METDB-00194-1-DN30166-c0-g1-i1.p1
0	METDB-00194-1-DN30166-c0-g1-i2.p1
0	METDB-00194-1-DN63483-c0-g1-i1.p1
0	METDB-00194-1-DN94268-c0-g1-i1.p1
0	METDB-00194-1-DN63728-c0-g1-i1.p1
0	METDB-00194-1-DN87669-c0-g1-i1.p1
0	METDB-00194-1-DN31495-c1-g1-i1.p1
0	METDB-00194-1-DN19875-c0-g1-i1.p1
0	METDB-00194-1-DN73168-c0-g1-i1.p1
0	METDB-00194-1-DN20162-c0-g1-i1.p2
0	METDB-00194-1-DN85200-c0-g1-i1.p1
0	METDB-00194-1-DN7343-c0-g2-i1.p1
0	METDB-00194-1-DN82475-c0-g1-i1.p1
0	METDB-00194-1-DN20162-c1-g1-i1.p1
0	METDB-00194-1-DN20207-c0-g2-i1.p1
0	METDB-00194-1-DN44968-c0-g1-i1.p1
0	METDB-00194-1-DN37692-c1-g2-i1.p1
0	METDB-00194-1-DN20931-c0-g1-i1.p1
0	METDB-00194-1-DN20931-c0-g2-i1.p1
0	METDB-00194-1-DN21304-c0-g1-i1.p1
0	METDB-00194-1-DN21304-c0-g2-i1.p1
0	METDB-00194-1-DN21304-c0-g3-i1.p1
0	METDB-00194-1-DN61182-c0-g1-i1.p1
0	METDB-00194-1-DN83882-c0-g1-i1.p1
0	METDB-00194-1-DN62953-c0-g1-i1.p1
0	METDB-00194-1-DN26695-c0-g1-i1.p1
0	METDB-00194-1-DN22392-c0-g1-i1.p1
0	METDB-00194-1-DN49502-c0-g1-i1.p1
0	METDB-00194-1-DN71906-c0-g1-i1.p1
0	METDB-00194-1-DN27934-c0-g1-i1.p1
0	METDB-00194-1-DN35706-c0-g1-i1.p1
0	METDB-00194-1-DN40036-c2-g5-i1.p1
0	METDB-00194-1-DN92984-c0-g1-i1.p1
0	METDB-00194-1-DN44374-c0-g1-i1.p1
0	METDB-00194-1-DN23707-c0-g1-i1.p1
0	METDB-00194-1-DN7119-c0-g1-i1.p1
0	METDB-00194-1-DN24741-c0-g1-i1.p1
0	METDB-00194-1-DN25076-c0-g1-i1.p1
0	METDB-00194-1-DN25076-c0-g2-i1.p1
0	METDB-00194-1-DN38054-c0-g1-i3.p1
0	METDB-00194-1-DN25181-c1-g1-i1.p1
0	METDB-00194-1-DN29970-c0-g1-i1.p1
0	METDB-00194-1-DN25720-c0-g1-i1.p1
0	METDB-00194-1-DN43272-c0-g1-i1.p1
0	METDB-00194-1-DN75722-c0-g1-i1.p1
0	METDB-00194-1-DN39747-c0-g1-i1.p1
0	METDB-00194-1-DN39747-c0-g1-i2.p1
0	METDB-00194-1-DN53022-c0-g1-i1.p1
0	METDB-00194-1-DN317-c0-g3-i1.p1
0	METDB-00194-1-DN30064-c0-g1-i1.p1
0	METDB-00194-1-DN2886-c0-g1-i1.p1
0	METDB-00194-1-DN36573-c0-g2-i1.p1
0	METDB-00194-1-DN36573-c0-g1-i1.p1
0	METDB-00194-1-DN29329-c0-g1-i1.p1
0	METDB-00194-1-DN83111-c0-g1-i1.p1
0	METDB-00194-1-DN86830-c0-g1-i1.p1
0	METDB-00194-1-DN30166-c2-g1-i1.p1
0	METDB-00194-1-DN88615-c0-g1-i1.p1
0	METDB-00194-1-DN31463-c0-g1-i1.p1
0	METDB-00194-1-DN31463-c0-g1-i2.p1
0	METDB-00194-1-DN72448-c0-g1-i1.p1
0	METDB-00194-1-DN38006-c0-g1-i1.p1
0	METDB-00194-1-DN38006-c0-g2-i1.p1
0	METDB-00194-1-DN317-c0-g2-i1.p1
0	METDB-00194-1-DN42567-c0-g1-i1.p1
0	METDB-00194-1-DN71196-c0-g1-i1.p1
0	METDB-00194-1-DN74202-c0-g1-i1.p1
0	METDB-00194-1-DN32977-c4-g1-i1.p1
0	METDB-00194-1-DN35014-c1-g1-i1.p1
0	METDB-00194-1-DN34408-c0-g1-i1.p1
0	METDB-00194-1-DN34429-c1-g1-i1.p1
0	METDB-00194-1-DN9516-c0-g1-i1.p1
0	METDB-00194-1-DN35503-c0-g1-i1.p1
0	METDB-00194-1-DN7343-c0-g1-i1.p1
0	METDB-00194-1-DN66146-c0-g1-i1.p1
0	METDB-00194-1-DN38040-c1-g1-i1.p1
0	METDB-00194-1-DN38040-c2-g4-i1.p1
0	METDB-00194-1-DN38040-c3-g1-i1.p1
0	METDB-00194-1-DN57889-c0-g1-i1.p1
0	METDB-00194-1-DN400-c0-g1-i1.p1
0	METDB-00194-1-DN42425-c0-g1-i1.p1
0	METDB-00194-1-DN61090-c0-g1-i1.p1
0	METDB-00194-1-DN42046-c0-g1-i1.p1
0	METDB-00194-1-DN42826-c0-g2-i1.p1
0	METDB-00194-1-DN44564-c0-g1-i1.p1
0	METDB-00194-1-DN45515-c0-g1-i1.p1
0	METDB-00194-1-DN46687-c0-g1-i1.p1
0	METDB-00194-1-DN62472-c0-g1-i1.p1
0	METDB-00194-1-DN52974-c0-g1-i1.p1
0	METDB-00194-1-DN50512-c0-g1-i1.p1
0	METDB-00194-1-DN53770-c0-g1-i1.p1
0	METDB-00194-1-DN54615-c0-g1-i1.p1
0	METDB-00194-1-DN54700-c0-g1-i1.p1
0	METDB-00194-1-DN73328-c0-g1-i1.p1
0	METDB-00194-1-DN61238-c0-g1-i1.p1
0	METDB-00194-1-DN6654-c0-g1-i1.p1
0	METDB-00194-1-DN67680-c0-g1-i1.p2
0	METDB-00194-1-DN9830-c0-g1-i1.p1
0	METDB-00194-1-DN9830-c0-g2-i1.p1
0	METDB-00194-1-DN87739-c0-g1-i1.p2
0	METDB-00194-1-DN88319-c0-g1-i1.p1
0	METDB-00194-1-DN93506-c0-g1-i1.p1
0	METDB-00194-1-DN95575-c0-g1-i1.p1
1	METDB-00194-1-DN100301-c0-g1-i1.p1
1	METDB-00194-1-DN44054-c0-g1-i1.p1
1	METDB-00194-1-DN43036-c0-g1-i1.p1
1	METDB-00194-1-DN90281-c0-g1-i1.p1
1	METDB-00194-1-DN11455-c0-g1-i1.p1
1	METDB-00194-1-DN61605-c0-g1-i1.p1
1	METDB-00194-1-DN53638-c0-g1-i1.p1
1	METDB-00194-1-DN74844-c0-g1-i1.p1
1	METDB-00194-1-DN51266-c0-g1-i1.p1
1	METDB-00194-1-DN64793-c0-g1-i1.p1
1	METDB-00194-1-DN18574-c0-g1-i1.p1
1	METDB-00194-1-DN42424-c0-g1-i1.p1
1	METDB-00194-1-DN72190-c0-g1-i1.p1
1	METDB-00194-1-DN26366-c1-g1-i1.p1
1	METDB-00194-1-DN28944-c2-g1-i1.p1
1	METDB-00194-1-DN41620-c1-g10-i1.p1
1	METDB-00194-1-DN50109-c0-g1-i1.p1
1	METDB-00194-1-DN24219-c0-g2-i1.p1
1	METDB-00194-1-DN51450-c0-g1-i1.p1
1	METDB-00194-1-DN66630-c0-g1-i1.p1
1	METDB-00194-1-DN15589-c0-g1-i1.p1
1	METDB-00194-1-DN51450-c0-g2-i1.p1
1	METDB-00194-1-DN70588-c0-g1-i1.p1
1	METDB-00194-1-DN39060-c0-g1-i2.p1
1	METDB-00194-1-DN31224-c1-g1-i1.p1
1	METDB-00194-1-DN66481-c0-g1-i1.p1
1	METDB-00194-1-DN1030-c0-g1-i1.p1
1	METDB-00194-1-DN41041-c1-g2-i4.p1
1	METDB-00194-1-DN40457-c0-g1-i1.p1
1	METDB-00194-1-DN50389-c0-g1-i1.p1
1	METDB-00194-1-DN40457-c0-g1-i4.p1
1	METDB-00194-1-DN40457-c0-g1-i6.p1
1	METDB-00194-1-DN40457-c0-g1-i3.p1
1	METDB-00194-1-DN40457-c0-g1-i5.p1
1	METDB-00194-1-DN41041-c1-g2-i1.p1
1	METDB-00194-1-DN15159-c0-g1-i1.p1
1	METDB-00194-1-DN41294-c1-g4-i9.p1
1	METDB-00194-1-DN40457-c0-g1-i2.p1
1	METDB-00194-1-DN34018-c2-g1-i1.p1
1	METDB-00194-1-DN96765-c0-g1-i1.p1
1	METDB-00194-1-DN49460-c0-g1-i1.p1
1	METDB-00194-1-DN19143-c0-g1-i1.p1
1	METDB-00194-1-DN19143-c0-g2-i1.p1
1	METDB-00194-1-DN41248-c0-g1-i5.p1
1	METDB-00194-1-DN65339-c0-g1-i1.p1
1	METDB-00194-1-DN11483-c0-g2-i1.p1
1	METDB-00194-1-DN11483-c0-g1-i1.p1
1	METDB-00194-1-DN5205-c0-g1-i1.p1
1	METDB-00194-1-DN5072-c0-g1-i1.p1
1	METDB-00194-1-DN34845-c0-g1-i1.p1
1	METDB-00194-1-DN37548-c0-g3-i1.p1
1	METDB-00194-1-DN49496-c0-g1-i1.p1
1	METDB-00194-1-DN78379-c0-g1-i1.p2
1	METDB-00194-1-DN98840-c0-g1-i1.p1
1	METDB-00194-1-DN42532-c0-g1-i1.p1
1	METDB-00194-1-DN81915-c0-g1-i1.p1
1	METDB-00194-1-DN31414-c0-g1-i1.p1
1	METDB-00194-1-DN31414-c0-g1-i2.p1
1	METDB-00194-1-DN31414-c0-g1-i3.p1
1	METDB-00194-1-DN73691-c0-g1-i1.p1
1	METDB-00194-1-DN6554-c0-g1-i1.p1
1	METDB-00194-1-DN61362-c0-g1-i1.p1
1	METDB-00194-1-DN62190-c0-g1-i1.p1
1	METDB-00194-1-DN50654-c0-g1-i1.p1
1	METDB-00194-1-DN16971-c0-g1-i1.p1
1	METDB-00194-1-DN31945-c1-g1-i1.p1
1	METDB-00194-1-DN31945-c1-g2-i1.p1
1	METDB-00194-1-DN59590-c0-g1-i1.p1
1	METDB-00194-1-DN54296-c0-g1-i1.p1
1	METDB-00194-1-DN12300-c0-g1-i1.p2
1	METDB-00194-1-DN44022-c0-g1-i1.p1
1	METDB-00194-1-DN74949-c0-g1-i1.p1
1	METDB-00194-1-DN12891-c0-g1-i1.p1
1	METDB-00194-1-DN37232-c0-g1-i1.p1
1	METDB-00194-1-DN41248-c0-g1-i1.p1
1	METDB-00194-1-DN41248-c0-g1-i3.p1
1	METDB-00194-1-DN60465-c0-g1-i1.p1
1	METDB-00194-1-DN53240-c0-g1-i1.p1
1	METDB-00194-1-DN82743-c0-g1-i1.p1
1	METDB-00194-1-DN14559-c0-g1-i1.p1
1	METDB-00194-1-DN60173-c0-g1-i1.p1
1	METDB-00194-1-DN39072-c0-g1-i2.p1
1	METDB-00194-1-DN39072-c0-g1-i1.p1
1	METDB-00194-1-DN39072-c0-g1-i3.p1
1	METDB-00194-1-DN3351-c0-g1-i1.p1
1	METDB-00194-1-DN73565-c0-g1-i1.p1
1	METDB-00194-1-DN41248-c0-g1-i4.p1
1	METDB-00194-1-DN27034-c0-g2-i1.p1
1	METDB-00194-1-DN199-c1-g1-i1.p2
1	METDB-00194-1-DN43167-c0-g1-i1.p1
1	METDB-00194-1-DN84159-c0-g1-i1.p1
1	METDB-00194-1-DN78248-c0-g1-i1.p1
1	METDB-00194-1-DN50254-c0-g1-i1.p1
1	METDB-00194-1-DN15661-c0-g1-i1.p1
1	METDB-00194-1-DN95587-c0-g1-i1.p1
1	METDB-00194-1-DN20378-c0-g1-i1.p1
1	METDB-00194-1-DN16971-c0-g2-i1.p1
1	METDB-00194-1-DN20071-c0-g2-i1.p1
1	METDB-00194-1-DN17735-c0-g1-i1.p1
1	METDB-00194-1-DN63471-c0-g1-i1.p1
1	METDB-00194-1-DN29828-c0-g1-i1.p1
1	METDB-00194-1-DN76669-c0-g1-i1.p1
1	METDB-00194-1-DN18578-c0-g1-i1.p1
1	METDB-00194-1-DN62611-c0-g1-i1.p1
1	METDB-00194-1-DN39306-c0-g1-i2.p1
1	METDB-00194-1-DN3929-c0-g1-i1.p1
1	METDB-00194-1-DN33700-c0-g2-i1.p1
1	METDB-00194-1-DN33700-c0-g1-i1.p1
1	METDB-00194-1-DN23423-c0-g2-i1.p1
1	METDB-00194-1-DN39060-c0-g1-i1.p1
1	METDB-00194-1-DN19948-c0-g1-i1.p1
1	METDB-00194-1-DN84226-c0-g1-i1.p1
1	METDB-00194-1-DN98441-c0-g1-i1.p1
1	METDB-00194-1-DN62941-c0-g1-i1.p1
1	METDB-00194-1-DN39356-c0-g1-i1.p1
1	METDB-00194-1-DN84673-c0-g1-i1.p1
1	METDB-00194-1-DN23162-c1-g1-i1.p1
1	METDB-00194-1-DN23218-c0-g1-i1.p2
1	METDB-00194-1-DN41248-c0-g2-i5.p1
1	METDB-00194-1-DN41248-c0-g2-i1.p1
1	METDB-00194-1-DN41248-c0-g2-i2.p1
1	METDB-00194-1-DN41248-c0-g2-i3.p1
1	METDB-00194-1-DN41248-c0-g2-i4.p1
1	METDB-00194-1-DN41248-c0-g2-i6.p1
1	METDB-00194-1-DN23410-c0-g2-i1.p1
1	METDB-00194-1-DN23429-c0-g1-i1.p1
1	METDB-00194-1-DN39306-c0-g1-i1.p1
1	METDB-00194-1-DN24954-c0-g1-i1.p1
1	METDB-00194-1-DN24954-c0-g2-i1.p1
1	METDB-00194-1-DN25215-c0-g1-i1.p1
